X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0.00020128,0.0953511,,0.00020128,1.4523
0.00020228,0.0955386,,0.00020228,1.45412
0.00020328,0.0957223,,0.00020328,1.4559
0.00020428,0.0959022,,0.00020428,1.45764
0.00020528,0.0960783,,0.00020528,1.45934
0.00020628,0.0962506,,0.00020628,1.46099
0.00020728,0.0964192,,0.00020728,1.46261
0.00020828,0.0965839,,0.00020828,1.46419
0.00020928,0.0967448,,0.00020928,1.46573
0.00021028,0.0969019,,0.00021028,1.46723
0.00021128,0.0970552,,0.00021128,1.46869
0.00021228,0.0972046,,0.00021228,1.47011
0.00021328,0.0973502,,0.00021328,1.4715
0.00021428,0.097492,,0.00021428,1.47284
0.00021528,0.0976299,,0.00021528,1.47414
0.00021628,0.097764,,0.00021628,1.47541
0.00021728,0.0978942,,0.00021728,1.47664
0.00021828,0.0980205,,0.00021828,1.47783
0.00021928,0.098143,,0.00021928,1.47898
0.00022028,0.0982615,,0.00022028,1.48009
0.00022128,0.0983762,,0.00022128,1.48117
0.00022228,0.0984871,,0.00022228,1.4822
0.00022328,0.098594,,0.00022328,1.4832
0.00022428,0.0986971,,0.00022428,1.48416
0.00022528,0.0987962,,0.00022528,1.48509
0.00022628,0.0988915,,0.00022628,1.48598
0.00022728,0.0989828,,0.00022728,1.48682
0.00022828,0.0990702,,0.00022828,1.48764
0.00022928,0.0991538,,0.00022928,1.48841
0.00023028,0.0992334,,0.00023028,1.48915
0.00023128,0.0993091,,0.00023128,1.48985
0.00023228,0.0993808,,0.00023228,1.49052
0.00023328,0.0994487,,0.00023328,1.49114
0.00023428,0.0995126,,0.00023428,1.49173
0.00023528,0.0995726,,0.00023528,1.49229
0.00023628,0.0996287,,0.00023628,1.4928
0.00023728,0.0996808,,0.00023728,1.49328
0.00023828,0.099729,,0.00023828,1.49373
0.00023928,0.0997732,,0.00023928,1.49414
0.00024028,0.0998136,,0.00024028,1.49451
0.00024128,0.0998499,,0.00024128,1.49484
